"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3,R10,R9,R7,R1";"R_0603_1608Metric";6;"10 K";;;
2;"U1";"ESP32-C3-MINI-1-N4";1;"ESP32-C3-MINI-1-N4";;;
3;"Q2,Q3";"SOT-23";2;"BC817";;;
4;"R13";"R_0603_1608Metric";1;"10K";;;
5;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"ADC_CH4";;;
6;"C18,C19";"C_0805_2012Metric";2;"10uF";;;
7;"R4";"R_0603_1608Metric";1;"4.7 K";;;
8;"U5";"SOT-23";1;"MCP1700-3302E_SOT23";;;
9;"D6";"LED_0805_2012Metric";1;"GRE";;;
10;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
11;"U4";"TP4057-42-SOT26-R";1;"TP4057-42-SOT26-R";;;
12;"Q4";"SOT-23";1;"Si2301CDS";;;
13;"J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
14;"D5";"D_SOD-123";1;"1N5817";;;
15;"C16";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
16;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Jumper_2_Bridged";;;
17;"R8,R6";"R_0603_1608Metric";2;"4.7K";;;
18;"J2";"FH34SRJ-6S-0.5SH50-Hirose";1;"FH34SRJ-6S-0.5SH_50_";;;
19;"J1";"FH5210S05SH99_LCD";1;"FH52-10S-0.5SH_99";;;
20;"R11";"R_0805_2012Metric";1;"2K2";;;
21;"R12";"R_0603_1608Metric";1;"5K";;;
22;"J4";"JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical";1;"Jack-DC";;;
23;"SW3";"Alps_SKRK";1;"BUTTON2";;;
24;"SW2";"Alps_SKRK";1;"BUTTON1";;;
25;"SW1";"Alps_SKRK";1;"RESET";;;
