Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","RESET","Alps_SKRK",76.000000,-37.850000,180.000000,bottom
"SW2","BUTTON1","Alps_SKRK",76.000000,-42.480000,180.000000,bottom
"SW3","BUTTON2","Alps_SKRK",76.000000,-48.260000,180.000000,bottom
"C16","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",104.152500,-54.690000,0.000000,top
"C18","10uF","C_0805_2012Metric",79.640000,-48.170000,0.000000,top
"C19","10uF","C_0805_2012Metric",77.830000,-42.250000,0.000000,top
"D5","1N5817","D_SOD-123",83.610000,-45.260000,0.000000,top
"D6","GRE","LED_0805_2012Metric",96.040000,-32.802500,-90.000000,top
"J1","FH52-10S-0.5SH_99","FH5210S05SH99_LCD",111.790000,-46.000000,90.000000,top
"J2","FH34SRJ-6S-0.5SH_50_","FH34SRJ-6S-0.5SH50-Hirose",108.719000,-32.330000,90.000000,top
"J3","USB_C_Programming","USB_C_Receptacle_HRO_TYPE-C-31-M-12",76.800000,-57.125000,-90.000000,top
"J4","Jack-DC","JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical",75.885000,-37.320000,90.000000,top
"Q2","BC817","SOT-23",98.167500,-41.730000,0.000000,top
"Q3","BC817","SOT-23",90.342500,-41.390000,180.000000,top
"Q4","Si2301CDS","SOT-23",74.280000,-47.322500,90.000000,top
"R1","10 K","R_0603_1608Metric",80.460000,-40.715000,90.000000,top
"R2","10 K","R_0603_1608Metric",81.470000,-43.180000,0.000000,top
"R3","10 K","R_0603_1608Metric",82.650000,-48.175000,-90.000000,top
"R4","4.7 K","R_0603_1608Metric",112.655000,-35.050000,0.000000,top
"R6","4.7K","R_0603_1608Metric",102.740000,-38.220000,0.000000,top
"R7","10 K","R_0603_1608Metric",94.100000,-40.560000,180.000000,top
"R8","4.7K","R_0603_1608Metric",105.100000,-37.450000,-90.000000,top
"R9","10 K","R_0603_1608Metric",102.100000,-41.680000,180.000000,top
"R10","10 K","R_0603_1608Metric",94.100000,-42.400000,180.000000,top
"R11","2K2","R_0805_2012Metric",95.000000,-37.330000,180.000000,top
"R12","5K","R_0603_1608Metric",92.780000,-31.910000,180.000000,top
"R13","10K","R_0603_1608Metric",73.320000,-43.730000,-90.000000,top
"U1","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1-N4",93.360000,-53.970000,180.000000,top
"U2","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",84.490000,-35.550000,-90.000000,top
"U4","TP4057-42-SOT26-R","TP4057-42-SOT26-R",91.200000,-35.621100,-90.000000,top
"U5","MCP1700-3302E_SOT23","SOT-23",77.922500,-45.220000,180.000000,top
