Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","RESET","Alps_SKRK",76.500000,-39.030000,0.000000,bottom
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",98.225000,-40.000000,0.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.125000,-41.100000,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.250000,-48.025000,-90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.270000,-52.110000,0.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.975000,-45.125000,0.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.925000,-44.375000,0.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.050000,-49.075000,90.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.000000,-47.325000,-90.000000,top
"C9","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.980000,-54.610000,180.000000,top
"C10","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.630000,-56.540000,90.000000,top
"C11","4.7uF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.970000,-56.700000,0.000000,top
"C12","4.7uF","C_0603_1608Metric",96.360000,-34.060000,-90.000000,top
"C13","12 pF","C_0603_1608Metric",88.120000,-35.610000,180.000000,top
"C14","12 pF","C_0603_1608Metric",88.120000,-31.220000,180.000000,top
"C15","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",93.112500,-31.670000,0.000000,top
"C16","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",84.100000,-56.075000,-90.000000,top
"C17","100 nF","C_0805_2012Metric",84.400000,-60.550000,0.000000,top
"C18","10uF","C_0805_2012Metric",97.470000,-56.040000,90.000000,top
"C19","10uF","C_0805_2012Metric",104.325000,-55.475000,90.000000,top
"D1","MBR0530","D_SOD-123",115.850000,-56.070000,90.000000,top
"D2","MBR0530","D_SOD-123",118.660000,-52.340000,0.000000,top
"D3","MBR0530","D_SOD-123",110.160000,-55.790000,0.000000,top
"D4","1N4148WS","D_SOD-323",93.356250,-34.287500,0.000000,top
"D5","1N5817","D_SOD-123",109.150000,-58.180000,180.000000,top
"D6","GRE","LED_0805_2012Metric",91.610000,-61.390000,180.000000,top
"J1","AFC24-S24FIC-00","AFC24-S24FIC-00",111.400000,-46.000000,90.000000,top
"J2","Conn_01x06_Female","FH34SRJ-6S-0.5SH50-Hirose",108.340000,-32.330000,90.000000,top
"J3","USB_C_Programming","USB_C_Receptacle_HRO_TYPE-C-31-M-12",76.800000,-57.125000,-90.000000,top
"J4","Jack-DC","JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical",101.385000,-59.840000,90.000000,top
"J5","Conn_01x02_Male","PinHeader_1x02_P1.27mm_Vertical",87.350000,-60.950000,90.000000,top
"L1","10uH","SWPA4030S1R0NT",93.876400,-38.250000,180.000000,top
"Q1","Si1308","SOT-323_SC-70",102.750000,-38.800000,0.000000,top
"Q2","BC817","SOT-23",93.700000,-51.050000,0.000000,top
"Q3","BC817","SOT-23",93.700000,-54.550000,0.000000,top
"Q4","Si2301CDS","SOT-23",114.300000,-60.360000,0.000000,top
"R1","10K","R_0603_1608Metric",102.775000,-36.675000,0.000000,top
"R2","1.7R","R_0603_1608Metric",116.245000,-50.320000,0.000000,top
"R3","3R","R_0603_1608Metric",119.565000,-50.320000,0.000000,top
"R4","4.7 K","R_0603_1608Metric",92.050000,-41.525000,180.000000,top
"R5","10 K","R_0603_1608Metric",93.025000,-46.925000,180.000000,top
"R6","4.7K","R_0603_1608Metric",92.025000,-43.575000,0.000000,top
"R7","10 K","R_0603_1608Metric",90.725000,-51.475000,-90.000000,top
"R8","4.7K","R_0603_1608Metric",92.025000,-45.100000,0.000000,top
"R9","10 K","R_0603_1608Metric",94.150000,-48.500000,0.000000,top
"R10","10 K","R_0603_1608Metric",96.375000,-52.800000,-90.000000,top
"R11","2K2","R_0805_2012Metric",108.047500,-61.130000,180.000000,top
"R12","5K","R_0603_1608Metric",92.370000,-58.955000,-90.000000,top
"R13","10K","R_0603_1608Metric",94.700000,-57.060000,180.000000,top
"U1","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1-N4",80.600000,-44.400000,90.000000,top
"U2","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",81.495000,-33.075000,180.000000,top
"U3","CP2102N-Axx-xQFN20","CP2102NA02GQFN20",88.750000,-55.650000,0.000000,top
"U4","TP4057-42-SOT26-R","TP4057-42-SOT26-R",95.721100,-60.040001,180.000000,top
"U5","MCP1700-3302E_SOT23","SOT-23",101.225000,-55.475000,0.000000,top
"Y1","Crystal_Small","Q13FC1350000400-Crystal",88.120000,-33.415000,180.000000,top
