"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C6,C5,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
2;"Q4";"SOT-23";1;"Si2301CDS";;;
3;"R2";"R_0603_1608Metric";1;"1.7R";;;
4;"C18,C19";"C_0805_2012Metric";2;"10uF";;;
5;"TP4,TP1,TP2,TP3";"TestPoint_Pad_1.0x1.0mm";4;"32Khz";;;
6;"R9,R7,R10,R5";"R_0603_1608Metric";4;"10 K";;;
7;"C13,C14";"C_0603_1608Metric";2;"12 pF";;;
8;"J1";"AFC24-S24FIC-00";1;"AFC24-S24FIC-00";;;
9;"L1";"SWPA4030S1R0NT";1;"10uH";;;
10;"R6,R8";"R_0603_1608Metric";2;"4.7K";;;
11;"U1";"ESP32-C3-MINI-1-N4";1;"ESP32-C3-MINI-1-N4";;;
12;"D5";"D_SOD-123";1;"1N5817";;;
13;"J5";"PinHeader_1x02_P1.27mm_Vertical";1;"Conn_01x02_Male";;;
14;"D6";"LED_0805_2012Metric";1;"GRE";;;
15;"R1,R13";"R_0603_1608Metric";2;"10K";;;
16;"C7,C10,C9,C3,C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"4.7uF";;;
17;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCF8563T";;;
18;"Q3,Q2";"SOT-23";2;"BC817";;;
19;"J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
20;"D4";"D_SOD-323";1;"1N4148WS";;;
21;"Y1";"Q13FC1350000400-Crystal";1;"Crystal_Small";;;
22;"R3";"R_0603_1608Metric";1;"3R";;;
23;"D3,D1,D2";"D_SOD-123";3;"MBR0530";;;
24;"C17";"C_0805_2012Metric";1;"100 nF";;;
25;"Q1";"SOT-323_SC-70";1;"Si1308";;;
26;"C15,C16";"CP_EIA-3528-21_Kemet-B";2;"C_Polarized 100uF";;;
27;"C12";"C_0603_1608Metric";1;"4.7uF";;;
28;"U5";"SOT-23";1;"MCP1700-3302E_SOT23";;;
29;"R4";"R_0603_1608Metric";1;"4.7 K";;;
30;"J2";"FH34SRJ-6S-0.5SH50-Hirose";1;"Conn_01x06_Female";;;
31;"R11";"R_0805_2012Metric";1;"2K2";;;
32;"J4";"JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical";1;"Jack-DC";;;
33;"R12";"R_0603_1608Metric";1;"5K";;;
34;"U3";"CP2102NA02GQFN20";1;"CP2102N-Axx-xQFN20";;;
35;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF 50V";;;
36;"U4";"TP4057-42-SOT26-R";1;"TP4057-42-SOT26-R";;;
37;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Jumper_2_Bridged";;;
38;"SW1";"Alps_SKRK";1;"RESET";;;
