Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.600000,-85.200000,90.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.512500,-83.050000,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.550000,-85.000000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.750000,-85.650000,180.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.910000,-101.000000,-90.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.787500,-78.550000,0.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.100000,-96.000000,180.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.300000,-86.100000,90.000000,top
"C9","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.812500,-91.750000,0.000000,top
"C10","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.700000,-88.500000,180.000000,top
"C11","4.7uF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.587500,-88.500000,0.000000,top
"C12","4.7uF","C_0603_1608Metric",152.625000,-99.050000,0.000000,top
"C13","100 nF","C_0805_2012Metric",117.850000,-116.900000,-90.000000,top
"C14","10uF","C_0805_2012Metric",131.400000,-120.400000,-90.000000,top
"C15","10uF","C_0805_2012Metric",118.800000,-96.900000,180.000000,top
"C16","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",117.200000,-113.550000,180.000000,top
"D1","MBR0530","D_SOD-123",153.200000,-90.850000,180.000000,top
"D2","MBR0530","D_SOD-123",156.550000,-93.950000,180.000000,top
"D3","MBR0530","D_SOD-123",151.650000,-93.450000,0.000000,top
"J1","AFC24-S24FIC-00","AFC24-S24FIC-00",146.350000,-78.000000,180.000000,top
"J2","USB_C_Programming","USB_C_Receptacle_HRO_TYPE-C-31-M-12",124.800000,-120.750000,0.000000,top
"J4","Conn_01x06_Female","FH34SRJ-6S-0.5SH50-Hirose",119.400000,-89.300000,180.000000,top
"L1","10uH","SWPA4030S1R0NT",156.650000,-98.050000,-90.000000,top
"Q1","Si1308","SOT-323_SC-70",138.650000,-86.500000,0.000000,top
"Q2","BC817","SOT-23",154.650000,-119.850000,180.000000,top
"Q3","BC817","SOT-23",130.750000,-110.962500,-90.000000,top
"R1","10K","R_0603_1608Metric",134.900000,-85.850000,180.000000,top
"R2","10 K","R_0603_1608Metric",157.800000,-119.900000,-90.000000,top
"R3","3R","R_0603_1608Metric",138.500000,-89.550000,0.000000,top
"R4","10 K","R_0603_1608Metric",159.590000,-119.900000,-90.000000,top
"R5","10 K","R_0603_1608Metric",131.700000,-114.575000,90.000000,top
"R6","5.1K","R_0603_1608Metric",117.650000,-120.750000,-90.000000,top
"R7","5.1K","R_0603_1608Metric",127.500000,-114.100000,0.000000,top
"R8","4.7K","R_0603_1608Metric",155.000000,-115.850000,90.000000,top
"R9","4.7K","R_0603_1608Metric",153.450000,-114.700000,90.000000,top
"R10","10 K","R_0603_1608Metric",118.825000,-94.200000,180.000000,top
"U1","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02-N4",142.514000,-114.750000,180.000000,top
"U2","CP2102N-Axx-xQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",124.900000,-108.100000,90.000000,top
"U3","MCP1700-3302E_SOT23","SOT-23",121.700000,-113.062500,-90.000000,top
