"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP1";"TestPoint_Pad_D1.5mm";1;"VCOM";;;
2;"D4";"D_SOD-323";1;"1N5819WS";;;
3;"C2,C7,C9,C10,C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"4.7uF";;;
4;"TP3";"TestPoint_Pad_D1.5mm";1;"32Khz";;;
5;"U1";"ESP32-C3-WROOM-02-N4";1;"ESP32-C3-WROOM-02-N4";;;
6;"Q2,Q3";"SOT-23";2;"BC817";;;
7;"C8,C4,C6,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
8;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
9;"U3";"SOT-23";1;"MCP1700-3302E_SOT23";;;
10;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF 50V";;;
11;"R11";"R_0603_1608Metric";1;"0.47R";;;
12;"C17,C18";"CP_EIA-3528-21_Kemet-B";2;"220uF";;;
13;"R3";"R_0603_1608Metric";1;"3R";;;
14;"R2,R5,R12,R4";"R_0603_1608Metric";4;"10 K";;;
15;"TP4";"TestPoint_Pad_D1.5mm";1;"PREVGL";;;
16;"JP1";"switch-MK-12C02-G020";1;"RESE";;;
17;"C14,C15";"C_0805_2012Metric";2;"10uF";;;
18;"J1";"AFC24-S24FIC-00";1;"AFC24-S24FIC-00";;;
19;"R7,R6";"R_0603_1608Metric";2;"5.1K";;;
20;"D1,D3,D2";"D_SOD-123";3;"MBR0530";;;
21;"C13";"C_0805_2012Metric";1;"100 nF";;;
22;"R10";"R_0603_1608Metric";1;"3.6K";;;
23;"C16";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
24;"R1";"R_0603_1608Metric";1;"10K";;;
25;"J4";"FH34SRJ-6S-0.5SH50-Hirose";1;"Conn_01x06_Female";;;
26;"R9,R8";"R_0603_1608Metric";2;"4.7K";;;
27;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
28;"TP5";"TestPoint_Pad_D1.5mm";1;"PREVGH";;;
29;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
30;"Q1";"SOT-323_SC-70";1;"Si1308";;;
31;"C12";"C_0603_1608Metric";1;"4.7uF";;;
32;"L1";"SWPA4030S1R0NT";1;"10uH";;;
