Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2µ2 35V","C_0603_1608Metric",122.325000,-85.475000,90.000000,top
"C2","2µ2 35V","C_0603_1608Metric",131.602000,-89.519000,-90.000000,top
"C3","1µ 25V","C_0603_1608Metric",111.028000,-81.378000,0.000000,top
"C4","1µ 25V","C_0603_1608Metric",117.124000,-85.188000,90.000000,top
"C5","1µ 25V","C_0603_1608Metric",127.284000,-86.458000,-90.000000,top
"C7","100n 16V","C_0603_1608Metric",131.602000,-86.458000,90.000000,top
"C9","1µ 25V","C_0603_1608Metric",129.448000,-86.458000,90.000000,top
"D1","D_Schottky","D_SOD-323",119.918000,-84.934000,0.000000,top
"D2","D_Schottky","D_SOD-323",128.554000,-90.014000,180.000000,top
"J1","C262568","TE_2-1734839-6_1x26-1MP_P0.5mm_Horizontal",123.474000,-81.033000,180.000000,top
"L1","47µ","1210",114.330000,-87.728000,-90.000000,top
"Q1","FET P-CH 60V 620Ma","FET_BSR315PH6327XTSA1",109.391999,-88.084600,180.000000,top
"Q2","MOSFET N-CH 30V 1.4A SC-70-3","FET_SI1308EDL-SOT-323",120.172000,-88.084600,180.000000,top
"U1","TinypicoESP32_Symbol","TinyESP32",118.526000,-85.600000,90.000000,top
